Stock_IdType,Stock_Id,PriceDate,PriceInstant,PriceCurrency,LastOrMidPrice,Open,High,Low,Close,Volume,AdjustedOpen,AdjustedHigh,AdjustedLow,AdjustedClose,AdjustedVolume,Dividend,SplitFactor,QuoteTimestamp,LastSaleTimestamp,AskSize,AskPrice,BidPrice,BidSize,LastPrice,LastSize,PrevClosePrice,MidPrice
Ticker,ABT,2020-02-13,,USD,88.68,88.5,89.04,87.7,88.68,4448837,88.5,89.04,87.7,88.68,4448837,0,,,,,,,,,,,
Ticker,TDOC,2020-02-13,,USD,112.02,109.62,113.08,108.94,112.02,1091228,109.62,113.08,108.94,112.02,1091228,0,,,,,,,,,,,
Ticker,VLO,2020-02-13,,USD,83.7,84.87,85.05,83.62,83.7,4507310,84.87,85.05,83.62,83.7,4507310,0,,,,,,,,,,,
Ticker,HEI,2020-02-13,,USD,128.23,127,128.4,126.75,128.23,289421,127,128.4,126.75,128.23,289421,0,,,,,,,,,,,
Ticker,LB,2020-02-13,,USD,24.28,24.4,24.62,23.84,24.28,6895745,24.4,24.62,23.84,24.28,6895745,0,,,,,,,,,,,
Ticker,PNR,2020-02-13,,USD,44.64,44.57,44.67,44.27,44.64,860188,44.57,44.67,44.27,44.64,860188,0,,,,,,,,,,,
Ticker,WHR,2020-02-13,,USD,152.03,151.44,152.69,150.36,152.03,498184,151.44,152.69,150.36,152.03,498184,0,,,,,,,,,,,
Ticker,FSI,2020-02-13,,USD,2.1,2.19,2.22,2.1,2.1,32589,2.19,2.22,2.1,2.1,32589,0,,,,,,,,,,,
Ticker,AE,2020-02-13,,USD,33.885,33.68,34.045,33.63,33.885,1266,33.68,34.045,33.63,33.885,1266,0,,,,,,,,,,,
Ticker,SKX,2020-02-13,,USD,38.76,39,39.2,38.48,38.76,2125898,39,39.2,38.48,38.76,2125898,0,,,,,,,,,,,
Ticker,AWI,2020-02-13,,USD,102.13,101.62,103.1,101.19,102.13,312964,101.62,103.1,101.19,102.13,312964,0,,,,,,,,,,,
Ticker,PBI,2020-02-13,,USD,3.94,3.99,4.045,3.81,3.94,3220446,3.99,4.045,3.81,3.94,3220446,0.05,,,,,,,,,,,
Ticker,PKE,2020-02-13,,USD,15.98,15.97,16.09,15.8459,15.98,38906,15.97,16.09,15.8459,15.98,38906,0,,,,,,,,,,,
Ticker,TPVG,2020-02-13,,USD,14.07,13.85,14.07,13.85,14.07,170081,13.85,14.07,13.85,14.07,170081,0,,,,,,,,,,,
Ticker,PAR,2020-02-13,,USD,31.45,31.38,31.6,31.14,31.45,69570,31.38,31.6,31.14,31.45,69570,0,,,,,,,,,,,
Ticker,NL,2020-02-13,,USD,3.51,3.54,3.54,3.48,3.51,3495,3.54,3.54,3.48,3.51,3495,0,,,,,,,,,,,
Ticker,BBT,2020-02-13,,USD,54.82,53.96,54.91,53.79,54.82,4162662,53.96,54.91,53.79,54.82,4162662,0.45,,,,,,,,,,,
Ticker,UFAB,2020-02-13,,USD,3.67,3.84,3.84,3.6,3.67,14597,3.84,3.84,3.6,3.67,14597,0,,,,,,,,,,,
Ticker,DLB,2020-02-13,,USD,72.03,70.55,72.29,70.51,72.03,364135,70.55,72.29,70.51,72.03,364135,0,,,,,,,,,,,
Ticker,AXTA,2020-02-13,,USD,29.75,29.43,29.95,29.36,29.75,3096636,29.43,29.95,29.36,29.75,3096636,0,,,,,,,,,,,
Ticker,ITUB,2020-02-13,,USD,7.89,7.92,7.96,7.825,7.89,18836447,7.92,7.96,7.825,7.89,18836447,0,,,,,,,,,,,
Ticker,XPL,2020-02-13,,USD,0.31,0.28,0.33,0.27,0.31,428100,0.28,0.33,0.27,0.31,428100,0,,,,,,,,,,,
Ticker,CPB,2020-02-13,,USD,48.36,48.1,48.37,47.82,48.36,1342741,48.1,48.37,47.82,48.36,1342741,0,,,,,,,,,,,
